Course Title,Course Description
MH1014 - Materiallära,"<p>The course covers metallic and ceramic materials. Apart from the specific aims given below the course gives an overview of these materials and their applications.  </p><p><strong>After the course the student should be able to:</strong></p><ul><li>sketch the most common crystal structures and give crystallographic orientations and planes in crystals using vectors and Millers indices.</li><li>describe and interpret phase transformations (diffusion controlled as well as diffusionless) and couple these to mechanical properties.</li><li>interpret microstructures and relate them to phase transformations.       </li><li>explain/describe/recognize deformation- and strengthening mechanisms specifying the underlying cause (type of defects, microstructure etc).</li><li>describe the most common corrosion and decomposition mechanisms for metallic and ceramic materials.</li><li>use binary and ternary phase diagrams.</li><li>perform simple calculations and estimations within all areas mentioned above</li><li>basic terminology in Swedish and English.</li></ul>  "
FSF3703 - Topologisk kombinatorik,"<p>After the course, the student should have a sufficiently deep knowledge of topological combinatorics to be able to start working on research projects in the area.</p> <ul><li>Borsuk-Ulam's Theorem and applications (e.g., Kneser-Lovász Theorem).</li><li>Basic theory of simplicial and cellular complexes: simplicial homology, homotopy type.</li><li>Methods for computing the homology or homotopy type of a complex: discrete Morse theory, nerves, poset maps, long exact sequences ...</li><li>Group actions on complexes.</li><li>The evasiveness conjecture and the prime power proof of Kahn-Saks-Sturtevant.</li></ul><p>Further topics might be covered during the student seminars.</p> <p>The examination consists of two parts:</p><p>• Two sets of home assignments.</p><p>• A 45-minute oral presentation (seminar) of some aspect of topological combinatorics. The presentation could be an overview of a research paper. It could also be a survey of known results in a particular area or a description of a useful tool for solving problems in topological combinatorics. Another possibility would be to discuss a topic in Matousek's book not covered during the lectures.</p>"
AI1128 - Samhällsbyggnadsekonomi,"<p>After the course the student should be able to:</p><ul><li>present the principles behind how a market works</li><li>analyze the effects from various changes on a market on prices and quantities produced</li><li>understand the background of market failures and their implications</li><li>explain how economic policy instruments may be used to achieve a sustainable society</li><li>understand why certain macroeconomic policies are introduced, e.g. when the central bank changes the interest rate</li><li>evaluate the general effects of different macroeconomic changes on the real estate and construction market</li><li>explain the basic fundamentals behind cost- / benefit-analysis</li><li>interpret the annual financial statements</li></ul> <p>The course covers the following areas:</p><p>1. Microeconomics: price formation on competitive markets and monopoly markets, different regulations and their effects with a special focus on the housing market and a sustainable society. The basis of contract theory with applications to procurement contracts.</p><p>2. Macroeconomics with a focus on property cycles and how these are related to the general business cycle and macroeconomic policies.</p><p>3. Cost calculations, investment calculations and how these can be used for analysis of projects and valuation of properties.</p><p>4. The core of an annual report, e.g., balance sheet and income statement.</p> "
FSK3403 - Fotonik,"<p>After completing the course, the student should be able to</p><ul><li>explain the physical principles underlying the generation, transmission, manipulation and detection of light in photonic devices.</li><li>choose, derive and apply suitable models to predict and analyze the response of basic photonic components</li><li>perform optical measurements through hands-on work in a photonic lab.</li><li>analyze and present data acquired using lab instruments and generated by simulations.</li><li>critically analyze and solve practical and theoretical problems within the field of photonics with the aid of relevant literature</li><li>provide an overview of the most recent developments of photonics and deeper insights into aspects of photonic science and applications of particular relevance for her/his own research field.</li></ul> <p>The course covers the physical principles underlying the operation af basic photonic components such as lasers, modulators, optical fibers and detectors and involving the generation, transmission, manipulation and detection of light.<br />Specifically, the course covers the following topics:</p><ul><li>Electromagnetic optics</li><li>Beam optics</li><li>Guided-wave optics</li><li>Coupled mode theory</li><li>Optics af periodic systems</li><li>Resonator optics</li><li>Acousto-optics</li><li>Electro-optics</li><li>Nonlinear optics</li><li>Ultrafast optics</li><li>Generation and detection af light</li></ul> "
FAF3118 - Högpresterande betongkonstruktioner,<p>After completing the course the student should be able to describe the function of and design methods for high performance concrete structures.</p> <p>The course can be a theoretical or experimental study or it can be a literature review of a course book.</p> 
FAK3147 - Biståndshistoria,"<p>The aim is to provide the student with a basic knowledge about the history of international aid from the 1940s to the present, and with a solid understanding of some of the scholarly traditions that continues to dominate this particular field of research. </p> <p>This is a course that approaches the history of international development aid from a variety of scholarly perspectives. It mixes historical overviews and social critique with empirical case studies in order to explore the diversity of actors, interests, ideologies, epistemologies, and policies that over the years have helped to shape the relationships between the global south and the global north. The focus of the course is on how critical encounters between intellectual traditions such as development economics, post-development studies, international relations and post-colonial studies, not only have influenced historical research and scholarly discussions about aid, but also structured policy debates on the very future of development assistance. </p> <p>Course requirements consist of both written and oral exam. The student should read the literature and compile it in an essay of max 8000 words, 12, 1.5 spacing. Each entry in the reading list must be included in the essay. When the essay is completed, the student disseminates it to the teachers. It will then form the basis for an oral examination. The examination session begins with the student giving a shorter presentation of the essay (15-20 minutes). The presentation must conclude with a couple of central themes or topics, derived from the literature, that the student suggests should structure the following discussion. </p>"
"FDD3003 - Parallella beräkningar: teori - maskinvara - programvara, med särskilt fokus på flerkärnig programmering","<p>The overall goal of the course is to give basic knowledge of the theory, hardware, and software approaches to parallel computing. Especially, hardware and software challenges and the interactions between them, as well as exposure to research challenges in this field will be emphasized.</p><p>After the course you will be able to:</p><ul><li>understand the properties of different parallel architectures</li><li>reason about the performance of a system</li><li>assess the potential and limitations of parallel processing</li><li>chose between different parallelization techniques</li><li>write parallel programs on multi-core machines.</li></ul> <ul><li>Introduction to Parallelism</li><li>Performance Considerations</li><li>Parallel Architectures <ul><li>Shared Memory</li><li>Scalable Multi-Processors</li><li>Interconnection networks</li></ul></li><li>Parallel Programming Methods and Techniques <ul><li>Task and Data parallelism</li><li>Programming for performance</li><li>Overview of programming techniques</li></ul></li><li>Multi-Core programming <ul><li>Properties of Multi-Core architectures</li><li>Pthreads</li><li>OpenMP</li></ul></li><li>Future Directions <ul><li>GPU, Accelerators</li></ul></li></ul> "
LS1414 - Engelska för akademiska studier,"<p>The purpose of the course to help the student develop study and communication skills in English with a focus on academic conventions and requirement within their own academic area.</p><p>On completion of the course, the students should be able to:</p><p>- present an understanding of aims, conventions and requirement for commonly occurring communication situations and text genres within their subject areas.</p><p>- use efficient communication strategies to present a message in an academically appropriate, simple and intelligible way</p><p>- take active part of an academic discussion with self-confidence and integrity</p><p>- work in a critical constructive way with academic literature</p><p>- evaluate their own academic strengths and weaknesses and be able to put up a concrete action plan to support their own academic development</p> <p>The course consists of web-based exercises and interactive lectures with a focus on study technique and communicative strategies within the student's own subject area. Oral and written exercises based on authentic scientific material. Information about KTH and Swedish teaching and learning in higher education.</p> "
HL2040 - Fysiologi i extrema omgivningar,"<p>The objectives are to provide the student knowledge concerning physiological responses and medical constraints during exposure to certain harsh environmental conditions, namely: high gravitoinertial (G) load, weightlessness, increased and reduced ambient pressure and hot and cold environments. The course will also highlight how humans make use of different devices, techniques and/or behavioural strategies to withstand such environments. Upon completion of the course, the student will know about:</p><p>•  Physiological responses and medical problems during exposure to cold climates.</p><p>• Countermeasures against local cold injuries and hypothermia.</p><p>• Physiological responses and medical problems during exposure to hot climates.</p><p>• Countermeasures against heat exhaustion and heat stroke.</p><p>• Physiological responses and medical problems during exposure to high G loads.</p><p>• G-protective behaviour and anti-G garments/measures.</p><p>• Physiological responses and medical problems during and following exposure to weightlessness</p><p>• Countermeasures against undesirable effects of weightlessness.</p><p>• Physiological responses and medical problems during immersion and exposure to high ambient pressures.</p><p>• Countermeasures against barotrauma and decompression sickness.</p><p>• Physiological responses and medical problems in submarine vehicles.</p><p>• Life-support systems in submarines and techniques for free escape from a bottomed submarine.</p><p>• Physiological responses and medical problems at high altitudes.</p><p>• Countermeasures against acute hypoxia and mountain sickness, and high-altitude acclimatisation.</p> <p>The course will mainly be based on lectures . The lectures will cover physiological responses as well as constraints and countermeasures during exposure to high G loads, weightlessness, increased and reduced ambient pressure and hot and cold climates.</p><p>The course will also include demonstrations of a human-use centrifuge, hypo- and hyperbaric pressure chambers and physiological responses during local cold exposure.</p><p>In addition, the students will be requested to participate in seminars concerning thermal physiology, altitude physiology, diving & hyperbaric physiology and acceleration & gravitational physiology.</p> <p>Final grade according to grade scale A-F.</p>"
FKD3400 - Korrosionsutmaningar - i nuvarande och framtida teknologier,"<p>After completion of the course the doctoral student should have the knowledge and ability to</p><ul><li>analyse an application for metallic materials from a corrosion perspective</li><li>break down a corrosion issue into questions related to damage mechanisms, materials selection criteria, and the effect of environmental parameters</li></ul> <ul><li>Cost of corrosion</li><li>Consequences of corrosion in different applications</li><li>Possibilities to avoid corrosion via materials selection or mitigation measures</li><li>Focus on selected applications which each course participant describes in a literature study</li></ul> "
